                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.67837,                 1.0528,                0.40222,                0.91816,                0.96069,                0.97269,                0.99455,                0.67092,                0.72923,                0.75421,                0.68968,                0.42026,                0.90782,                 1.2815,                0.46169,                0.99963,              0.0014789,              0.0014789,              0.0014789
                     60,                0.67063,                 1.0891,                0.41331,                0.92492,                0.96831,                      1,                  0.995,                0.70884,                0.77992,                 0.8125,                0.75595,                0.48023,                0.84116,                 1.2082,                0.40674,                 0.9812,              0.0014756,              0.0014756,              0.0014756
                     61,                0.60796,                0.90149,                0.37005,                0.89915,                0.99751,                 0.9991,                  0.995,                0.69432,                0.82511,                0.82812,                0.74643,                0.45317,                0.86454,                 1.3607,                0.40741,                  1.022,              0.0014723,              0.0014723,              0.0014723
                     62,                0.61623,                0.94883,                0.37508,                 0.9095,                0.99474,                      1,                  0.995,                0.70531,                0.85162,                 0.8433,                0.77293,                0.47423,                0.81953,                 1.0645,                0.38337,                0.99053,               0.001469,               0.001469,               0.001469
                     63,                0.62594,                 0.9218,                0.37393,                0.90816,                0.99692,                0.99895,                  0.995,                0.67093,                0.86895,                0.85938,                0.80656,                0.48097,                0.94516,                 1.2516,                0.42393,                 1.0577,              0.0014657,              0.0014657,              0.0014657
                     64,                0.64763,                   1.01,                0.36769,                0.91098,                0.99643,                0.99756,                  0.995,                0.63316,                0.95038,                 0.9375,                0.92668,                0.52056,                0.86052,                 1.0634,                0.39854,                0.99613,              0.0014624,              0.0014624,              0.0014624
                     65,                0.62917,                0.93374,                0.35561,                0.90742,                0.99157,                 0.9988,                  0.995,                0.63578,                 0.8204,                 0.8125,                0.76034,                 0.4542,                0.88915,                 1.2952,                0.39404,                0.99859,              0.0014591,              0.0014591,              0.0014591
                     66,                0.64125,                0.97139,                0.38069,                0.91012,                0.97989,                      1,                  0.995,                0.69727,                0.78137,                0.76562,                0.76907,                0.47111,                0.80028,                  1.254,                0.39647,                0.96646,              0.0014558,              0.0014558,              0.0014558
                     67,                0.62823,                0.96242,                0.37649,                0.90006,                0.98186,                0.99743,                  0.995,                0.71587,                0.84158,                0.82812,                0.80678,                0.46887,                0.91292,                 1.3005,                 0.3914,                 1.0146,              0.0014525,              0.0014525,              0.0014525
                     68,                0.61656,                0.97172,                0.36182,                0.89507,                0.98395,                0.98356,                  0.989,                0.70224,                0.82212,                0.82812,                 0.7817,                0.49105,                0.86664,                 1.1868,                0.38605,                0.98006,              0.0014492,              0.0014492,              0.0014492
