                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.64261,                0.96195,                0.38465,                 0.9674,                0.97765,                0.99251,                0.99455,                0.78828,                0.93545,                0.95139,                0.95893,                 0.5898,                 0.6528,                 1.1128,                 0.3362,                 1.0081,             0.00052827,             0.00052827,             0.00052827
                     72,                0.66158,                 1.0579,                0.42084,                0.97493,                0.98953,                0.99056,                0.99444,                0.80661,                0.92057,                0.92111,                0.91653,                0.57996,                0.68881,                 1.1015,                0.33228,                 1.0166,             0.00051177,             0.00051177,             0.00051177
                     73,                0.65801,                 1.0307,                0.39741,                0.98663,                0.99338,                0.98882,                0.99443,                0.81297,                0.89665,                0.89164,                0.87166,                0.54998,                0.64395,                 1.0398,                0.31583,                0.98777,             0.00049527,             0.00049527,             0.00049527
                     74,                0.62044,                 1.0197,                0.38708,                0.96067,                 0.9938,                0.98958,                0.99479,                0.83106,                0.85456,                0.85069,                0.82881,                0.55637,                0.59044,                 1.0174,                 0.2912,                0.95967,             0.00047876,             0.00047876,             0.00047876
                     75,                0.62018,                 1.0142,                0.36712,                0.96858,                0.98935,                0.99204,                0.99395,                0.81208,                0.93406,                0.93676,                0.92776,                0.57387,                0.62384,                 1.0648,                0.30847,                0.97357,             0.00046226,             0.00046226,             0.00046226
                     76,                0.62002,                0.99538,                0.38125,                0.96858,                 0.9881,                0.99866,                0.99469,                0.81428,                0.93262,                0.94319,                0.90796,                0.58491,                 0.6134,                 1.0482,                0.30408,                0.97544,             0.00044576,             0.00044576,             0.00044576
                     77,                0.62447,                0.96368,                0.36646,                0.95989,                0.98855,                0.99758,                0.99469,                0.82445,                0.90518,                0.91437,                0.87068,                0.55328,                0.60521,                 1.0391,                  0.295,                0.97538,             0.00042925,             0.00042925,             0.00042925
                     78,                0.61724,                0.98258,                0.36782,                0.95128,                0.98933,                0.99873,                0.99334,                0.81853,                0.90573,                0.91545,                0.88044,                0.54919,                0.60963,                0.99355,                0.29736,                0.98194,             0.00041275,             0.00041275,             0.00041275
                     79,                0.62731,                0.99055,                0.37446,                0.96687,                0.98806,                  0.999,                 0.9922,                0.80106,                0.93239,                0.94366,                0.90669,                0.57243,                0.64594,                0.97359,                0.30633,                 1.0068,             0.00039625,             0.00039625,             0.00039625
                     80,                0.62335,                 0.9653,                0.36637,                0.94921,                0.98847,                0.99815,                0.99455,                 0.8138,                 0.9327,                0.94263,                0.91042,                  0.574,                0.63636,                 1.0035,                0.30189,                0.99759,             0.00037974,             0.00037974,             0.00037974
                     81,                0.59969,                 1.0272,                0.35262,                0.95632,                0.97369,                      1,                0.99463,                0.82126,                0.91985,                0.94444,                0.90429,                0.56745,                0.62956,                 1.0118,                0.29634,                0.99183,             0.00036324,             0.00036324,             0.00036324
                     82,                  0.609,                0.97095,                0.35157,                 0.9563,                0.97277,                      1,                 0.9947,                0.82909,                0.93224,                0.95833,                0.92456,                0.56266,                 0.6007,                0.97403,                  0.293,                 0.9683,             0.00034674,             0.00034674,             0.00034674
                     83,                 0.5929,                0.98975,                0.36197,                0.94471,                 0.9886,                0.99782,                  0.995,                0.82314,                0.91896,                0.92952,                 0.8767,                0.54065,                 0.5868,                0.97364,                0.28475,                0.97115,             0.00033023,             0.00033023,             0.00033023
                     84,                0.61454,                 1.0022,                0.34999,                 0.9599,                0.98863,                0.99831,                  0.995,                0.84001,                0.93292,                 0.9434,                0.89623,                 0.5431,                 0.5919,                0.95788,                 0.2859,                0.97313,             0.00031373,             0.00031373,             0.00031373
                     85,                0.58142,                0.91768,                0.33999,                0.94137,                0.98853,                0.99897,                0.99493,                0.84032,                0.93288,                0.94389,                0.89587,                0.54965,                0.58266,                0.93609,                0.27882,                0.96953,             0.00029723,             0.00029723,             0.00029723
                     86,                0.60633,                0.94659,                0.35206,                0.96651,                0.98852,                0.99941,                0.99486,                0.84318,                 0.9329,                0.94421,                0.89589,                0.54708,                0.59081,                 0.9284,                 0.2781,                0.97616,             0.00028072,             0.00028072,             0.00028072
                     87,                0.58487,                0.89723,                0.33267,                 0.9447,                0.98801,                0.99949,                0.99483,                0.83868,                 0.9324,                0.94416,                0.90572,                0.57184,                0.60003,                0.94197,                0.27909,                0.97303,             0.00026422,             0.00026422,             0.00026422
                     88,                0.61453,                 0.9604,                0.35057,                 0.9489,                0.98777,                0.99917,                  0.995,                0.84951,                 0.9182,                0.92992,                0.89207,                0.58216,                0.59659,                 0.9373,                 0.2838,                0.96764,             0.00024772,             0.00024772,             0.00024772
                     89,                0.56761,                0.90192,                0.32282,                0.93259,                0.98771,                0.99912,                  0.995,                0.84461,                0.91814,                0.92982,                0.89357,                0.59356,                0.59357,                0.93949,                0.28468,                0.96953,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.5709,                0.97649,                0.34155,                0.93477,                 0.9875,                0.99904,                  0.995,                0.84628,                0.90399,                0.91584,                0.88152,                0.57147,                0.58837,                0.95172,                0.29028,                0.97137,             0.00021471,             0.00021471,             0.00021471
                     91,                0.52529,                0.84794,                0.28955,                0.92699,                0.98768,                0.99908,                  0.995,                0.84161,                0.90419,                0.91592,                0.88298,                0.55776,                0.57605,                0.94851,                0.27621,                0.96701,             0.00019821,             0.00019821,             0.00019821
                     92,                0.52174,                0.82447,                 0.2784,                0.91544,                 0.9883,                0.99926,                  0.995,                0.83138,                0.93264,                0.94388,                0.92894,                 0.5782,                  0.576,                0.94005,                0.26536,                0.96468,              0.0001817,              0.0001817,              0.0001817
                     93,                0.51204,                0.79568,                0.26927,                0.91792,                0.98874,                0.99963,                  0.995,                0.82107,                0.96094,                0.97195,                0.97448,                0.61029,                0.57665,                0.92791,                0.26612,                0.96272,              0.0001652,              0.0001652,              0.0001652
                     94,                0.50774,                0.81078,                0.27178,                0.91857,                0.99081,                      1,                  0.995,                0.82586,                0.94901,                0.95833,                0.96051,                0.61288,                0.57679,                0.92131,                0.26135,                0.96472,              0.0001487,              0.0001487,              0.0001487
                     95,                0.50717,                0.82404,                0.27146,                0.92859,                0.99181,                      1,                  0.995,                0.83961,                0.93626,                0.94444,                0.92819,                0.59472,                0.58302,                0.89888,                0.25995,                0.96647,             0.00013219,             0.00013219,             0.00013219
                     96,                0.50767,                0.83186,                0.26719,                0.90919,                0.99698,                      1,                  0.995,                0.83082,                0.95531,                0.95833,                0.94001,                0.59742,                0.60155,                0.88548,                0.26007,                 0.9721,             0.00011569,             0.00011569,             0.00011569
                     97,                0.52683,                0.83055,                0.27228,                0.93239,                0.99726,                      1,                  0.995,                0.83514,                0.95556,                0.95833,                 0.9403,                 0.5996,                0.60508,                0.88364,                 0.2605,                0.97628,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.50422,                0.76564,                0.26238,                0.90947,                0.99737,                      1,                  0.995,                0.84142,                0.95561,                0.95833,                0.94316,                0.59588,                 0.6073,                0.88615,                0.25352,                0.98265,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.48982,                0.78606,                0.25485,                 0.9019,                0.99717,                0.99993,                  0.995,                0.84627,                0.95543,                0.95833,                0.94579,                0.60899,                0.61122,                0.87818,                0.25255,                0.98509,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.4937,                0.75293,                0.25367,                0.90389,                0.99714,                0.99879,                  0.995,                0.84337,                0.95536,                 0.9572,                0.94859,                0.60106,                0.60599,                0.88051,                0.24775,                0.98338,             4.9677e-05,             4.9677e-05,             4.9677e-05
