                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.59008,                0.99948,                0.37221,                0.88265,                0.99681,                      1,                  0.995,                0.70251,                0.81635,                0.81818,                 0.7327,                0.43991,                0.98305,                 1.3314,                0.39931,                 1.0185,             0.00074282,             0.00074282,             0.00074282
                     59,                0.59339,                0.91691,                0.36174,                0.88511,                0.99619,                      1,                  0.995,                  0.688,                0.80357,                 0.7841,                0.70942,                0.42299,                0.97257,                 1.3869,                0.41426,                 1.0146,             0.00072631,             0.00072631,             0.00072631
                     60,                0.57653,                0.94114,                 0.3526,                0.87791,                 0.9967,                      1,                  0.995,                0.69073,                0.83784,                0.84091,                0.74203,                0.41388,                  1.006,                 1.4341,                0.40781,                  1.029,             0.00070981,             0.00070981,             0.00070981
                     61,                0.58105,                0.91049,                 0.3521,                 0.8737,                0.99674,                      1,                  0.995,                0.70733,                0.86056,                0.86364,                0.77574,                0.43658,                0.90236,                  1.235,                 0.3849,                0.98212,             0.00069331,             0.00069331,             0.00069331
                     62,                0.60059,                0.96483,                 0.3621,                 0.8871,                0.99618,                      1,                  0.995,                 0.6935,                0.90529,                0.90909,                0.84791,                0.49096,                0.85551,                 1.1733,                0.38533,                0.96731,              0.0006768,              0.0006768,              0.0006768
                     63,                0.56488,                0.89983,                0.36105,                0.87212,                0.99595,                      1,                  0.995,                0.65088,                0.95044,                0.95455,                0.91693,                0.48167,                  1.007,                 1.4299,                0.41025,                 1.0716,              0.0006603,              0.0006603,              0.0006603
                     64,                0.58977,                0.92919,                 0.3634,                0.89176,                 0.9964,                      1,                  0.995,                0.68718,                0.95076,                0.95455,                 0.9212,                0.44602,                 1.0237,                 1.4136,                0.41919,                 1.0753,              0.0006438,              0.0006438,              0.0006438
                     65,                0.58024,                 0.9331,                0.35763,                0.89526,                0.99535,                      1,                  0.995,                0.70581,                0.90444,                0.90909,                0.85649,                 0.5323,                0.94976,                 1.3156,                0.40973,                 1.0163,             0.00062729,             0.00062729,             0.00062729
                     66,                0.58566,                 1.0046,                0.36146,                 0.8968,                0.99337,                      1,                  0.995,                0.71722,                0.85741,                0.86364,                0.79266,                0.51231,                0.97466,                 1.3964,                0.40565,                 1.0325,             0.00061079,             0.00061079,             0.00061079
                     67,                0.53985,                0.94851,                0.34132,                0.87536,                0.99181,                      1,                  0.995,                0.72307,                0.83371,                0.84091,                0.75089,                0.42438,                 1.0245,                 1.5319,                 0.4116,                 1.0673,             0.00059429,             0.00059429,             0.00059429
